wl,k
6.98324,0.01645
7.00280,0.01668
7.02247,0.01692
7.04225,0.01716
7.06215,0.01740
7.08215,0.01765
7.10227,0.01791
7.12251,0.01817
7.14286,0.01843
7.16332,0.01871
7.18391,0.01898
7.20461,0.01927
7.22543,0.01956
7.24638,0.01985
7.26744,0.02016
7.28863,0.02047
7.30994,0.02078
7.33138,0.02111
7.35294,0.02144
7.37463,0.02178
7.39645,0.02212
7.41840,0.02248
7.44048,0.02284
7.46269,0.02321
7.48503,0.02359
7.50751,0.02398
7.53012,0.02438
7.55287,0.02479
7.57576,0.02521
7.59878,0.02564
7.62195,0.02607
7.64526,0.02653
7.66871,0.02699
7.69231,0.02746
7.71605,0.02795
7.73994,0.02845
7.76398,0.02896
7.78816,0.02948
7.81250,0.03002
7.83699,0.03058
7.86164,0.03114
7.88644,0.03173
7.91139,0.03233
7.93651,0.03295
7.96178,0.03358
7.98722,0.03423
8.01282,0.03490
8.03859,0.03560
8.06452,0.03631
8.09061,0.03704
8.11688,0.03779
8.14332,0.03857
8.16993,0.03937
8.19672,0.04019
8.22368,0.04104
8.25083,0.04192
8.27815,0.04283
8.30565,0.04376
8.33333,0.04472
8.36120,0.04572
8.38926,0.04675
8.41751,0.04781
8.44595,0.04891
8.47458,0.05005
8.50340,0.05122
8.53242,0.05244
8.56164,0.05370
8.59107,0.05501
8.62069,0.05636
8.65052,0.05776
8.68056,0.05922
8.71080,0.06073
8.74126,0.06230
8.77193,0.06392
8.80282,0.06562
8.83392,0.06737
8.86525,0.06920
8.89680,0.07111
8.92857,0.07309
8.96057,0.07516
8.99281,0.07731
9.02527,0.07956
9.05797,0.08191
9.09091,0.08436
9.12409,0.08692
9.15751,0.08960
9.19118,0.09240
9.22509,0.09533
9.25926,0.09841
9.29368,0.10164
9.32836,0.10502
9.36330,0.10858
9.39850,0.11232
9.43396,0.11625
9.46970,0.12040
9.50570,0.12476
9.54198,0.12937
9.57854,0.13424
9.61538,0.13938
9.65251,0.14482
9.68992,0.15058
9.72763,0.15668
9.76563,0.16316
9.80392,0.17005
9.84252,0.17736
9.88142,0.18515
9.92063,0.19345
9.96016,0.20230
10.00000,0.21175
10.04016,0.22184
10.08065,0.23263
10.12146,0.24417
10.16260,0.25652
10.20408,0.26974
10.24590,0.28389
10.28807,0.29903
10.33058,0.31522
10.37344,0.33252
10.41667,0.35097
10.46025,0.37062
10.50420,0.39147
10.54852,0.41356
10.59322,0.43685
10.63830,0.46134
10.68376,0.48697
10.72961,0.51367
10.77586,0.54138
10.82251,0.57000
10.86957,0.59944
10.91703,0.62961
10.96491,0.66042
11.01322,0.69177
11.06195,0.72360
11.11111,0.75582
11.16071,0.78838
11.21076,0.82120
11.26126,0.85424
11.31222,0.88745
11.36364,0.92076
11.41553,0.95414
11.46789,0.98753
11.52074,1.02086
11.57407,1.05408
11.62791,1.08709
11.68224,1.11982
11.73709,1.15215
11.79245,1.18396
11.84834,1.21509
11.90476,1.24536
11.96172,1.27459
12.01923,1.30251
12.07729,1.32886
12.13592,1.35333
12.19512,1.37557
12.25490,1.39519
12.31527,1.41178
12.37624,1.42491
12.43781,1.43413
12.50000,1.43901
12.56281,1.43915
12.62626,1.43422
12.69036,1.42396
12.75510,1.40823
12.82051,1.38706
12.88660,1.36060
12.95337,1.32918
13.02083,1.29327
13.08901,1.25349
13.15789,1.21053
13.22751,1.16515
13.29787,1.11812
13.36898,1.07018
13.44086,1.02202
13.51351,0.97425
13.58696,0.92738
13.66120,0.88181
13.73626,0.83788
13.81215,0.79580
13.88889,0.75574
13.96648,0.71776
14.04494,0.68192